Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions & others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,Nvidia L4 GPU running in Americas,A88A-5A60-E821,"11,265.223",hour,6308.98,0.00,0.00,-260.42,6048.560286,6048.56,26%
Compute Engine,6F81-5844-456A,Commitment v1: Ram in Americas for 1 Year,E35D-222F-E443,"2,354,994.138",gibibyte hour,6285.48,-754.26,0.00,-209.37,5321.850407,5321.85,-6%
Compute Engine,6F81-5844-456A,Nvidia Tesla T4 GPU running in Americas,88B8-C3ED-03F0,"17,131.547",hour,5996.04,-659.56,0.00,-127.81,5208.669453,5208.67,-28%
ScyllaDB Cloud,6C88-208A-CBDF,Private scylladb-cloud-for-gcp-private subscription,830B-47B7-C901,"489,255",count,4892.55,0.00,0.00,0.00,4892.550000,4892.55,0%
Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,"32,107.274",gibibyte month,5457.62,-600.34,0.00,-193.58,4663.702240,4663.70,-18%
Compute Engine,6F81-5844-456A,Commitment v1: G2 Ram in Las Vegas for 1 Year,D294-7821-6EDB,"1,944,475.2",gibibyte hour,4039.12,-484.70,0.00,-134.40,3420.021028,3420.02,-6%
Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,"367,669.943",gibibyte,3676.69,-514.74,0.00,-126.65,3035.294095,3035.29,-14%
Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,"7,341.666",gibibyte,3438.51,-378.24,0.00,-99.62,2960.648842,2960.65,-9%
Compute Engine,6F81-5844-456A,Commitment v1: Local SSD in Americas for 1 Year,D612-7A63-70E5,"60,134.189",gibibyte month,3030.43,0.00,0.00,-114.72,2915.708285,2915.71,20%
Compute Engine,6F81-5844-456A,G2 Instance Core running in Americas,D18E-3563-415F,"132,291.411",hour,3305.72,-363.63,0.00,-121.66,2820.432530,2820.43,26%
Networking,E505-1604-58F8,Networking Cloud Nat Data Processing,015F-5732-FFF0,"69,903.746",gibibyte,3145.67,-346.02,0.00,-115.85,2683.795299,2683.80,106%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Multi-region,0D5D-6E23-4250,"113,177.286",gibibyte month,2938.65,-323.25,0.00,-119.04,2496.362328,2496.36,-26%
Compute Engine,6F81-5844-456A,Nvidia H100 80GB Plus GPU running in Americas,7CFD-81D6-E49C,"55,698.031",hour,576155.79,0.00,-573856.15,0.00,2299.641715,2299.64,67%
Cloud Filestore,D97E-AB26-5D95,Filestore Capacity Basic SSD (Premium) Las Vegas,8D53-3EF3-E872,"8,739.676",gibibyte month,3144.61,-345.91,0.00,-528.99,2269.718732,2269.72,-87%
Cloud Dataflow,57D6-8E6B-2DE0,vCPU Time Streaming Iowa,7DA8-1ADF-661B,"29,335.01",hour,2024.10,-222.66,0.00,-60.47,1740.979986,1740.98,-4%
Compute Engine,6F81-5844-456A,Commitment v1: Cpu in Las Vegas for 1 Year,452B-E31A-095A,"94,116.75",hour,2005.53,-240.66,0.00,-66.68,1698.190206,1698.19,-6%
Cloud Spanner,CC63-0873-48FD,Storage for Regional Configuration (United States),E064-98D3-9720,"6,564.985",gibibyte month,1969.38,-216.63,0.00,-69.45,1683.292331,1683.29,-8%
Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,"18,500.775",gibibyte month,1849.85,-203.48,0.00,-69.55,1576.814891,1576.81,28%
Cloud Bigtable,C3BE-24A5-0975,SSD storage,B307-B7C9-B4CC,"10,525.619",gibibyte month,1789.22,-196.82,0.00,-60.39,1532.013275,1532.01,-11%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Additional Global,1211-928B-AF92,"180,296.886",hour,1802.97,-198.33,0.00,-88.12,1516.515876,1516.52,-36%
Cloud Monitoring,58CD-E7C3-72CA,Monitoring API Requests,3ECE-36FE-BD9D,"155,041,479",Requests,1540.41,-169.47,0.00,-41.48,1329.467349,1329.47,161%
Compute Engine,6F81-5844-456A,G2 Instance Ram running in Americas,F0A4-E3D3-33BD,"529,165.666",gibibyte hour,1549.10,-170.40,0.00,-57.01,1321.689753,1321.69,26%
Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,"67,964.954",hour,1482.42,-163.07,0.00,-49.12,1270.235231,1270.24,-5%
Apigee,1C2D-8C78-EC58,Apigee Active Intermediate Environment Usage Hours,421B-D6C0-52A2,722.709,hour,1445.42,-159.00,0.00,-48.69,1237.733529,1237.73,-29%
Compute Engine,6F81-5844-456A,A2 Instance Ram running in Singapore,03D0-B47F-1938,"282,572.325",gibibyte hour,1476.72,-162.44,0.00,-86.51,1227.772431,1227.77,-48%
Networking,E505-1604-58F8,Networking Cloud VPN Tunnel Uscentral1,6F2D-F158-5D10,"26,363.216",hour,1318.16,-145.00,0.00,-58.43,1114.731536,1114.73,-31%
Cloud Composer,1992-3666-B975,Cloud Composer Compute mCPUs (us-central1),B701-3D6E-BFF1,"28,706,387.963",hour,1291.78,-142.10,0.00,-59.16,1090.530854,1090.53,-39%
Cloud Monitoring,58CD-E7C3-72CA,Prometheus Samples Ingested,A4E4-DF03-CDB6,"21,076,827,949",Samples,1264.58,-139.11,0.00,-42.41,1083.059752,1083.06,-8%
Cloud Composer,1992-3666-B975,Small Cloud Composer Environment Fee (us-central1).,6EA4-3652-173E,"3,505.101",hour,1226.78,-134.95,0.00,-51.11,1040.724837,1040.72,-17%
Compute Engine,6F81-5844-456A,Nvidia L4 GPU attached to Spot Preemptible VMs running in Americas,AEC2-3D5C-61BF,"4,664.145",hour,1040.57,0.00,0.00,0.00,1040.570246,1040.57,-19%
Compute Engine,6F81-5844-456A,Commitment v1: N4 Cpu in Americas for 1 Year,1C64-1E47-99AB,"52,028.1",hour,1067.83,-85.43,0.00,-37.19,945.217797,945.22,28%
Kubernetes Engine,CCD8-9BF1-090E,Regional Kubernetes Clusters,B561-BFBD-1264,"9,377.959",hour,937.79,0.00,0.00,-30.09,907.700667,907.70,-20%
Places API,213C-9623-1402,Places Details,FC5C-DF28-543F,"59,124",count,1005.11,0.00,-111.23,0.00,893.875748,893.88,1%
Compute Engine,6F81-5844-456A,Commitment v1: Ram in Las Vegas for 1 Year,02A1-136C-6ADD,"347,298.267",gibibyte hour,991.88,-119.03,0.00,-33.00,839.859638,839.86,-6%
Networking,E505-1604-58F8,Networking Cloud CDN Traffic Cache Data Transfer to North America,15AE-8E35-C42B,"12,683.188",gibibyte,953.56,-104.89,0.00,-36.85,811.820117,811.82,8%
BigQuery,24E6-581D-38E5,Long-Term Physical Storage (US),2FAA-620A-0686,"40,818.636",gibibyte month,816.01,0.00,0.00,-12.21,803.792404,803.79,12802%
Cloud Composer,1992-3666-B975,Medium Cloud Composer Environment Fee (us-west4).,E8FE-0738-9009,"1,313.505",hour,814.37,-89.58,0.00,-15.09,709.698470,709.70,-12%
Compute Engine,6F81-5844-456A,E2 Instance Ram running in Americas,F449-33EC-A5EF,"271,860.041",gibibyte hour,794.78,-87.43,0.00,-26.33,681.024098,681.02,-5%
Compute Engine,6F81-5844-456A,A2 Instance Core running in Singapore,10F0-EE60-26C7,"19,946.281",hour,777.88,-85.57,0.00,-45.57,646.746498,646.75,-48%
Cloud Composer,1992-3666-B975,Cloud Composer Compute mCPUs (us-west4),8E21-DE3E-4F20,"13,791,779.167",hour,703.38,-77.37,0.00,-13.04,612.971081,612.97,-12%
Compute Engine,6F81-5844-456A,Commitment v1: N2D AMD Cpu in Americas for 1 Year,46C4-6958-048B,"40,518.131",hour,702.02,-84.24,0.00,-23.35,594.420127,594.42,-6%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Regional,E5F0-6A5D-7BAD,"32,004.239",gibibyte month,638.73,-70.26,0.00,-37.70,530.766496,530.77,-52%
Compute Engine,6F81-5844-456A,N4 Instance Core running in Americas,1C3C-9EBD-240F,"69,446.098",hour,2262.41,-248.87,-1509.91,-19.03,484.603009,484.60,-46%
Compute Engine,6F81-5844-456A,Spot Preemptible G2 Instance Core running in Americas,59A6-9C49-BDDB,"55,979.808",hour,471.35,0.00,0.00,0.00,471.349391,471.35,-15%
Cloud Spanner,CC63-0873-48FD,Backup storage for Regional Configuration (United States),CB17-9AE7-4C89,"4,860.004",gibibyte month,485.97,0.00,0.00,-18.33,467.643779,467.64,-1%
BigQuery,24E6-581D-38E5,Active Physical Storage (US),901F-36D9-3005,"11,528.708",gibibyte month,460.67,0.00,0.00,-5.85,454.815148,454.82,21662%
Compute Engine,6F81-5844-456A,Regional SSD backed PD Capacity,AC33-821B-43FA,"1,503.555",gibibyte month,511.15,-56.23,0.00,-17.22,437.706630,437.71,-3%
Compute Engine,6F81-5844-456A,Commitment v1: N4 Ram in Americas for 1 Year,54A4-E111-92FB,"208,415.947",gibibyte hour,486.08,-38.90,0.00,-16.90,430.273070,430.27,29%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M1 Iowa/South Carolina/Oregon,38BC-F861-2EB5,"10,117.924",gibibyte hour,495.78,-54.54,0.00,-16.70,424.539698,424.54,5%
Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,"4,837",gibibyte month,483.59,-53.20,0.00,-15.17,415.226391,415.23,12%
Cloud Composer,1992-3666-B975,Cloud Composer Compute Memory (us-central1),D7FD-FC38-57D9,"96,439.417",gibibyte hour,482.19,-53.04,0.00,-22.15,406.998181,407.00,-39%
Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,"11,689.054",gibibyte month,466.29,-51.29,0.00,-17.98,397.015556,397.02,-25%
Networking,E505-1604-58F8,Networking Cloud CDN Traffic Cache Data Transfer to Europe,2A8D-245C-0E0B,"5,504.475",gibibyte,440.32,-48.44,0.00,-16.11,375.766557,375.77,24%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Americas,F274-1692-F213,"3,794.291",gibibyte,427.47,-59.85,0.00,-14.99,352.631486,352.63,19%
Cloud Composer,1992-3666-B975,Medium Cloud Composer Environment Fee (us-central1).,9802-34D7-AFE2,722.106,hour,397.16,-43.69,0.00,-13.39,340.083633,340.08,-41%
Cloud Dataflow,57D6-8E6B-2DE0,RAM Time Streaming Iowa,8A4F-EDB2-2A96,"110,009.457",gibibyte hour,391.28,-43.04,0.00,-11.69,336.553601,336.55,-4%
Cloud Filestore,D97E-AB26-5D95,Filestore Capacity Regional and Enterprise Iowa,0413-DF42-2B69,839.075,gibibyte month,377.58,-41.53,0.00,0.00,336.048850,336.05,New
Compute Engine,6F81-5844-456A,Commitment v1: N2D AMD Ram in Americas for 1 Year,02B2-13AB-C4A0,"162,170.4",gibibyte hour,376.56,-45.19,0.00,-12.52,318.852222,318.85,-6%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Regional - vCPU in Americas,2C7C-7705-6CE7,"4,344",hour,358.81,-39.47,0.00,-12.06,307.279994,307.28,-6%
Cloud Run,152E-C115-5142,Idle Min-Instance Memory Allocation Time,740D-08F2-7A11,"147,720,158.596",gibibyte second,369.30,-40.62,-0.82,-28.80,299.055176,299.06,-61%
Compute Engine,6F81-5844-456A,Nvidia L4 GPU running in Las Vegas,6E7A-3CB4-0441,"40,966.306",hour,25840.45,0.00,-25532.91,-17.25,290.285630,290.29,-92%
Compute Engine,6F81-5844-456A,N2D AMD Instance Core running in Las Vegas,0E8D-9FEF-852D,"11,989.303",hour,371.38,-74.28,0.00,-10.85,286.258552,286.26,-78%
Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,"62,010",count,310.05,0.00,-34.29,0.00,275.764516,275.76,-2%
Places API,213C-9623-1402,Atmosphere Data,D63D-5CC5-302A,"59,739",count,298.70,0.00,-32.98,0.00,265.712424,265.71,1%
Cloud Composer,1992-3666-B975,Cloud Composer Compute Memory (us-west4),A713-4055-7A4F,"49,913.106",gibibyte hour,299.48,-32.94,0.00,-5.55,260.984033,260.98,-12%
BigQuery,24E6-581D-38E5,Long Term Logical Storage,993F-6B6B-DCC4,"34,681.428",gibibyte month,345.92,-38.05,0.00,-52.03,255.842607,255.84,-89%
Compute Engine,6F81-5844-456A,N2 Instance Core running in Las Vegas,5467-593D-DD72,"8,408.463",hour,299.37,-59.87,0.00,-7.79,231.700755,231.70,-88%
Networking,E505-1604-58F8,Networking Cloud CDN Traffic Cache Data Transfer to Latin America,E141-D225-4599,"2,915.648",gibibyte,262.40,-28.86,0.00,-10.43,223.103981,223.10,48%
Compute Engine,6F81-5844-456A,Spot Preemptible G2 Instance Ram running in Americas,BF80-650A-78E6,"223,919.316",gibibyte hour,220.34,0.00,0.00,0.00,220.336030,220.34,-15%
Compute Engine,6F81-5844-456A,N4 Instance Ram running in Americas,36D5-78B0-A4D9,"277,784.407",gibibyte hour,1028.36,-113.12,-686.73,-8.65,219.851137,219.85,-46%
BigQuery,24E6-581D-38E5,Analysis,1DF5-1F98-1DD1,41.976,tebibyte,256.10,-28.17,0.00,-8.43,219.501101,219.50,-74%
Networking,E505-1604-58F8,Networking Cloud CDN Traffic Cache Data Transfer to Asia,6C5E-44C4-703A,"2,754.217",gibibyte,247.87,-27.27,0.00,-6.31,214.291752,214.29,44%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Regional - RAM in Americas,E33C-229F-2DA2,"17,376",gibibyte hour,243.26,-26.76,0.00,-8.18,208.325420,208.33,-6%
BigQuery BI Engine,650B-3C82-34DB,BigQuery BI Engine for US,2D3F-8043-D389,"5,781.671",gibibyte hour,240.52,-26.46,0.00,-8.10,205.957700,205.96,16%
Compute Engine,6F81-5844-456A,Balanced PD Capacity in Singapore,16D2-FC49-A127,"2,081.284",gibibyte month,228.92,-25.18,0.00,-7.79,195.942642,195.94,-4%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Archive Class A Operations,7C99-2945-9180,"1,757,361",count,175.74,0.00,0.00,0.00,175.736100,175.74,New
Compute Engine,6F81-5844-456A,Nvidia Tesla T4 GPU running in Las Vegas,2F2B-2B91-EA03,532.758,hour,197.12,-21.68,0.00,0.00,175.436966,175.44,-92%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum Global,DEE3-C42E-3E4D,"8,096.493",hour,202.41,-22.27,0.00,-6.09,174.055751,174.06,-9%
Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations (excluding Asia & Australia),22EB-AAE8-FBCD,"1,839.8",gibibyte,200.62,-28.09,0.00,0.00,172.531274,172.53,-52%
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Multi-region within Northern America,3C8A-99C5-F47B,"10,671.233",gibibyte,213.42,-29.88,0.00,-11.69,171.851485,171.85,-48%
Networking,E505-1604-58F8,Networking Cloud Cdn Cache Lookups,4762-E550-B5D2,"262,556,460",count,196.80,-21.66,0.00,-6.27,168.876849,168.88,30%
Cloud Filestore,D97E-AB26-5D95,Filestore Capacity Basic HDD (Standard) Iowa/South Carolina/Oregon,B315-A685-9DC4,"1,243.159",gibibyte month,198.87,-21.88,0.00,-11.06,165.930308,165.93,-39%
Cloud Storage,95FF-2EF5-5EA1,Archive Data Retrieval,27A1-EBA4-49E8,"3,402.38",gibibyte,170.12,0.00,0.00,-6.04,164.082602,164.08,-6%
Compute Engine,6F81-5844-456A,A3Plus Instance Core running in Americas,219A-D213-4889,"1,448,149.241",hour,38989.38,0.00,-38828.96,0.00,160.421772,160.42,81%
Places API,213C-9623-1402,Contact Data,F095-CD01-81B2,"59,738",count,179.21,0.00,-19.79,0.00,159.424453,159.42,1%
Cloud Composer,1992-3666-B975,Cloud Composer SQL vCPU time in Iowa,EC29-6F80-D12B,"1,443.986",hour,180.50,-19.85,0.00,-6.08,154.557505,154.56,-6%
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Inter Region within Northern America,8878-37D4-D2AC,"9,670.882",gibibyte,191.42,-26.80,0.00,-10.53,154.086252,154.09,-47%
Compute Engine,6F81-5844-456A,N2D AMD Instance Ram running in Las Vegas,ABD2-309F-B86A,"47,957.23",gibibyte hour,199.07,-39.81,0.00,-5.81,153.442297,153.44,-78%
Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,"35,786.939",hour,175.32,-19.39,0.00,-5.84,150.083016,150.08,7%
Compute Engine,6F81-5844-456A,SSD backed PD Capacity in Singapore,C97A-896E-D6F0,915.164,gibibyte month,171.09,-18.82,0.00,-12.93,139.343280,139.34,-59%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum for Americas (multi-region),CBE2-3343-9091,"6,341.76",hour,158.54,-17.44,0.00,-4.87,136.231264,136.23,-8%
Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class A Operations,4DBF-185F-A415,"31,434,043",count,157.15,-17.29,0.00,-5.78,134.080992,134.08,-27%
BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,"8,877.526",gibibyte month,176.99,-19.47,0.00,-23.90,133.621446,133.62,-88%
Compute Engine,6F81-5844-456A,SSD backed PD Capacity in Las Vegas,CF9E-3EFB-D09B,823.32,gibibyte month,153.93,-16.93,0.00,-10.56,126.437172,126.44,-80%
Compute Engine,6F81-5844-456A,A3Plus Instance Ram running in Americas,4DA1-178C-94E8,"13,033,343.308",gibibyte hour,30556.40,0.00,-30430.68,0.00,125.723047,125.72,81%
Compute Engine,6F81-5844-456A,N2 Instance Ram running in Las Vegas,FA34-B408-E0FF,"33,633.874",gibibyte hour,160.47,-32.09,0.00,-4.18,124.196109,124.20,-88%
Neo4j Aura,4BED-D4B2-0923,Professional AuraDB Professional - Paused,E9CD-95D3-0BF7,"6,496",gibibyte hour,116.93,0.00,0.00,0.00,116.928000,116.93,-33%
Translate,1DB1-3CD3-35A3,Neural Translation Model Predictions,D90A-CFB2-7CCD,"7,142,734",characters,142.85,-15.72,-10.00,-3.85,113.289264,113.29,-20%
BigQuery,24E6-581D-38E5,Long Term Logical Storage (asia-east1),F66C-C62E-214A,"13,000.777",gibibyte month,129.87,-14.29,0.00,-4.39,111.198401,111.20,-4%
Cloud Storage,95FF-2EF5-5EA1,Cloud CDN Cache Fill from North America to Europe,A6BD-E69F-4F97,"3,231.217",gibibyte,129.21,-14.22,0.00,-4.22,110.772224,110.77,11%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to EMEA,DFA5-B5C6-36D6,"1,113.143",gibibyte,132.57,-18.56,0.00,-3.76,110.248902,110.25,21%
GKE Enterprise / GDC,9186-F79E-3871,GKE Enterprise,03CC-5250-7F51,"15,049.209",hour,123.70,-13.61,0.00,-0.80,109.294454,109.29,-24%
Cloud Bigtable,C3BE-24A5-0975,Backup storage,E82F-4427-05A9,"4,297.197",gibibyte month,111.71,0.00,0.00,-4.22,107.493444,107.49,-2%
Compute Engine,6F81-5844-456A,E2 Instance Core running in Japan,EAED-8A05-843B,"4,337.146",hour,121.55,-13.37,0.00,-4.09,104.087995,104.09,-6%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - vCPU in Americas,1912-86A6-9950,"1,448",hour,119.60,-13.16,0.00,-4.02,102.426665,102.43,-6%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - vCPU in Americas,965E-7C36-08E6,"2,896",hour,119.60,-13.16,0.00,-4.02,102.426664,102.43,46%
Cloud Storage,95FF-2EF5-5EA1,Regional Archive Class A Operations,F3A8-B939-4A19,"2,098,016",count,104.90,0.00,0.00,-3.43,101.471850,101.47,-38%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to South America,03A5-1B2A-3485,641.447,gibibyte,121.68,-17.04,0.00,-3.82,100.817864,100.82,67%
Backup for GKE,7929-AEC3-626F,Backup for GKE management in Iowa,9ADA-9D5A-8D0E,118.674,month,118.65,-13.05,0.00,-5.94,99.660199,99.66,-34%
Cloud Run,152E-C115-5142,Idle Min-Instance CPU Allocation Time,7EBB-8579-2C98,"50,124,582.359",second,125.31,-13.78,-2.88,-10.51,98.143265,98.14,-65%
App Engine,F17B-412E-CB64,Flex Instance Core Hours,CF04-16EA-81CF,"2,167.993",hour,114.04,-12.54,0.00,-3.84,97.649554,97.65,-6%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Apac(Excluding Korea and Indonesia),378D-6896-1041,936.788,gibibyte,112.28,-15.72,0.00,-2.98,93.577402,93.58,New
Cloud Composer,1992-3666-B975,Cloud Composer vCPU time in Iowa,5A8D-6E49-486B,"1,443.986",hour,106.85,-11.75,0.00,-3.60,91.497307,91.50,-6%
Compute Engine,6F81-5844-456A,N2 Instance Core running in Japan,E137-7DDF-1143,"2,891.338",hour,117.44,-23.49,0.00,-3.56,90.396237,90.40,-68%
Compute Engine,6F81-5844-456A,G2 Instance Core running in Las Vegas,29FF-9F02-F5CE,"489,645.442",hour,13780.69,-1515.88,-12170.30,-5.48,89.029119,89.03,-94%
Compute Engine,6F81-5844-456A,Static Ip Charge,66A2-68EA-56BE,"10,106.183",hour,101.05,-11.12,0.00,-2.68,87.255496,87.26,-89%
Networking,E505-1604-58F8,Networking Cloud Nat Gateway Uptime,32E2-4EFC-EF9F,"68,615.201",hour,96.06,-10.57,0.00,-3.17,82.318706,82.32,-25%
Networking,E505-1604-58F8,Regional Internal Passthrough Network Load Balancer Inbound Data Processing for Iowa (us-central1),F6C4-AC52-0E8A,"11,633.575",gibibyte,93.07,-10.24,0.00,-3.44,79.393192,79.39,-22%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Regional - Low cost storage in Americas,40A2-4E23-1D92,514.13,gibibyte month,92.52,-10.18,0.00,-3.11,79.230202,79.23,-3%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Standard M1 Iowa/South Carolina/Oregon,6CC9-917B-40AB,"1,445.418",gibibyte hour,92.51,-10.18,0.00,-3.12,79.214366,79.21,-6%
Compute Engine,6F81-5844-456A,N2 Instance Core running in Americas,BB77-5FDA-69D9,"372,599.037",hour,11778.22,-2355.65,-9343.36,0.00,79.211451,79.21,-682%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Additional for Americas (multi-region),CCD0-28AC-2618,"9,231.626",hour,92.32,-10.15,0.00,-3.41,78.752221,78.75,-15%
App Engine,F17B-412E-CB64,Flex Instance Core Hours Los Angeles,2CA6-E85B-D367,"1,445.368",hour,91.06,-10.02,0.00,-3.07,77.973743,77.97,-6%
Compute Engine,6F81-5844-456A,N2 Instance Core running in EMEA,9F61-45D7-D4FB,"2,891.338",hour,100.54,-20.11,0.00,-3.04,77.387948,77.39,-6%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - vCPU in Americas,741F-D668-2417,"2,172",hour,89.70,-9.87,0.00,-3.02,76.819998,76.82,-6%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - RAM in Americas,93DA-3F55-CB04,"11,584",gibibyte hour,81.09,-8.92,0.00,-2.73,69.441806,69.44,46%
Dataplex,51C6-B3F5-9B38,Dataplex Premium Processing (milli DCU-hr) Iowa,6DAE-2158-F5F5,"912,748.632",Milli DCU hours,81.23,-8.94,0.00,-4.50,67.794011,67.79,-42%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class A Operations,9ADA-9AED-1B24,"8,016,756",count,80.17,-8.82,0.00,-5.12,66.231552,66.23,-54%
Cloud Trace,9B82-7513-9D1C,Spans ingested,FFCF-0164-9BC0,"393,821,668",count,78.26,-8.61,0.00,-4.09,65.549089,65.55,-10%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - RAM in Americas,9BE2-CB5B-66F8,"5,430",gibibyte hour,76.02,-8.36,0.00,-2.56,65.101694,65.10,-6%
Compute Engine,6F81-5844-456A,SSD backed Local Storage in Singapore,F8F1-D370-6212,864.523,gibibyte month,76.06,-8.37,0.00,-4.46,63.234043,63.23,-46%
Cloud Storage,95FF-2EF5-5EA1,Cloud CDN North America Intra-Region Cache Fill,80E7-B02A-1CAD,"7,060.784",gibibyte,70.59,-7.77,0.00,-2.50,60.326016,60.33,11%
